symbol,pair,rows_1m,start_1m,end_1m,has_full_window
ADAUSDT,ADA/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
DOTUSDT,DOT/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
ATOMUSDT,ATOM/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
ARBUSDT,ARB/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
NEARUSDT,NEAR/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
UNIUSDT,UNI/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
FILUSDT,FIL/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
INJUSDT,INJ/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
ALGOUSDT,ALGO/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
HBARUSDT,HBAR/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
FETUSDT,FET/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
GALAUSDT,GALA/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
RUNEUSDT,RUNE/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
ICPUSDT,ICP/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
SANDUSDT,SAND/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
MANAUSDT,MANA/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
1000SHIBUSDT,1000SHIB/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
1000PEPEUSDT,1000PEPE/USDT:USDT,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,True
