base,rule,template,side,regime,main_profit_pct,main_trades,losing_main_windows,profitable_main_windows,2023H2_profit_pct,2023H2_trades,2023H2_pf,2024_profit_pct,2024_trades,2024_pf,2025_profit_pct,2025_trades,2025_pf,2026_01_05_profit_pct,2026_01_05_trades,2026_01_05_pf,all_window_profit_pct,all_window_trades,losing_all_windows
NEAR,NEAR:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,218.4196534190895,225,0,3,14.295541871235429,41,1.2257317910284597,71.17514361563728,101,1.3239153610148369,115.20544434160551,85,1.944215287145937,32.03906546184672,39,1.5863636594636767,232.71519529032494,266,0
DOT,DOT:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,218.30869392220586,140,0,3,-16.160747912333527,19,0.512903694426913,63.105651094509426,59,1.8283803345049863,54.84924388738639,51,1.8655762065240762,100.35379894031004,30,4.921768489076354,202.14794600987233,159,1
ICP,ICP:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,205.88823337196072,168,0,3,19.371347084236135,33,1.573403927851,65.48538875386937,80,1.42715387299627,114.94340314286889,60,2.3920738677811384,25.459441475222455,28,1.5479843084158922,225.25958045619686,201,0
ADA,ADA:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,204.61804608888738,402,0,3,55.58467425550939,51,1.9515067981811163,125.37791687927596,180,1.4461344447916666,77.46974618294384,171,1.2310911290982116,1.770383026667599,51,1.0296076180652594,260.20272034439677,453,0
FET,FET:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,170.68203762839866,262,0,3,58.12471389659892,70,1.4436621078958947,93.29323319715445,128,1.2937941741509889,55.334304221507715,95,1.299378913089392,22.054500209736496,39,1.4297928127193864,228.8067515249976,332,0
RUNE,RUNE:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,157.00026305237765,383,0,3,56.72864800662442,56,1.6577424890045938,73.78722479525585,175,1.1848183960526772,63.33114434074222,163,1.1884465831806588,19.881893916379568,45,1.322315917065078,213.72891105900206,439,0
NEAR,NEAR:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,153.13496199062251,150,0,3,45.20346608739151,32,2.011196846268203,120.15853598547048,83,1.6881856658947125,17.6045085836829,44,1.234592145395733,15.37191742146915,23,1.4583095934994525,198.33842807801403,182,0
UNI,UNI:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,151.80066385376853,184,0,3,10.804332216561097,31,1.2624937562350647,88.57897848143539,75,1.7446399076435313,2.881847988432762,76,1.017346103142147,60.33983738390036,33,3.033630177442266,162.6049960703296,215,0
FET,FET:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,139.3117808403346,217,0,3,-15.03304099481304,47,0.8816569539522883,88.6007102179005,84,1.3878463298852297,50.135482738361105,84,1.3339457899483176,0.57558788407297,49,1.0045164630053514,124.27873984552153,264,1
1000SHIB,1000SHIB:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,130.97386390838022,261,0,3,63.4665598223576,59,1.4932466279827308,49.35751487153234,97,1.183566144478928,50.29230604908902,114,1.2798179971284933,31.324042987758872,50,1.4499711643526807,194.44042373073785,320,0
