base,rule,template,side,regime,main_profit_pct,main_trades,losing_windows,profitable_windows
ATOM,ATOM:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,304.4346654173787,580,0,3
1000PEPE,1000PEPE:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,283.32049977040896,786,1,2
FET,FET:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,281.1473760896296,397,1,2
1000PEPE,1000PEPE:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,268.90355909957987,326,1,2
NEAR,NEAR:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,218.4196534190895,225,0,3
DOT,DOT:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,218.30869392220586,140,0,3
UNI,UNI:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,216.7861283226475,242,1,2
ICP,ICP:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,205.88823337196072,168,0,3
ADA,ADA:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,204.61804608888738,402,0,3
ALGO,ALGO:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,197.25026931290455,536,0,3
MANA,MANA:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,186.3887995344584,548,0,3
FET,FET:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,170.68203762839866,262,0,3
DOT,DOT:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,167.84252125199393,385,1,2
RUNE,RUNE:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,157.00026305237765,383,0,3
GALA,GALA:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,155.30765732200723,603,2,1
RUNE,RUNE:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,154.5697735625231,682,1,2
