window,base,rule,template,side,regime,hold_5m,leverage,trades,profit_ratio_sum,profit_pct_sum,avg_trade_pct,wins,losses,winrate_pct,profit_factor
2023H2,ADA,ADA:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,34,0.5332523656205663,53.32523656205663,1.5683893106487243,20,14,58.82352941176471,2.6908796438918703
2024,ADA,ADA:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,107,-0.24148145537701193,-24.148145537701193,-0.22568360315608593,57,50,53.271028037383175,0.9105166098548181
2025,ADA,ADA:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,104,0.13111728648314713,13.111728648314713,0.12607431392610302,58,46,55.769230769230774,1.0686643549526247
2026_01_05,ADA,ADA:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,27,-0.04156168642289071,-4.156168642289071,-0.15393217193663225,11,16,40.74074074074074,0.9075478272631647
2023H2,ADA,ADA:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,12,4.0,35,-0.26601401967333915,-26.601401967333913,-0.7600400562095404,16,19,45.714285714285715,0.5110221576288678
2024,ADA,ADA:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,12,4.0,74,-0.4624705187917941,-46.24705187917941,-0.6249601605294516,42,32,56.75675675675676,0.7375630809577111
2025,ADA,ADA:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,12,4.0,86,-0.03529362876128728,-3.5293628761287277,-0.041039103210799156,39,47,45.348837209302324,0.9782398029729278
2026_01_05,ADA,ADA:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,12,4.0,24,-0.14760138752477792,-14.760138752477792,-0.6150057813532412,13,11,54.166666666666664,0.7042453462398075
2023H2,ADA,ADA:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,24,4.0,44,-0.29740147971933206,-29.740147971933204,-0.6759124539075728,24,20,54.54545454545454,0.7117291759011204
2024,ADA,ADA:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,24,4.0,101,-0.39042637167057626,-39.04263716705763,-0.38656076403027356,47,54,46.53465346534654,0.8057511773159387
2025,ADA,ADA:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,24,4.0,100,0.6272848426505631,62.72848426505631,0.6272848426505631,61,39,61.0,1.2687599668465184
2026_01_05,ADA,ADA:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,24,4.0,25,-0.2057765170575907,-20.57765170575907,-0.8231060682303628,12,13,48.0,0.48760956462076177
2023H2,ADA,ADA:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,24,4.0,27,0.12860366054086336,12.860366054086336,0.47630985385504954,16,11,59.25925925925925,1.3445000714622966
2024,ADA,ADA:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,24,4.0,49,-0.08142935922613415,-8.142935922613415,-0.16618236576762072,25,24,51.02040816326531,0.925118850002847
2025,ADA,ADA:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,24,4.0,86,0.03914736627009763,3.9147366270097628,0.04552019333732282,39,47,45.348837209302324,1.0268278311537067
2026_01_05,ADA,ADA:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,24,4.0,32,0.44832345853603384,44.832345853603385,1.4010108079251058,21,11,65.625,2.5078110821256105
2023H2,ADA,ADA:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,18,5.0,62,-0.32272242433328713,-32.272242433328714,-0.5205200392472373,27,35,43.54838709677419,0.7962179705477072
2024,ADA,ADA:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,18,5.0,109,0.22416406542340117,22.416406542340116,0.20565510589302857,53,56,48.62385321100918,1.090666062611227
2025,ADA,ADA:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,18,5.0,137,-0.4396266685700889,-43.96266685700889,-0.32089537851831307,58,79,42.33576642335766,0.8700114769682314
2026_01_05,ADA,ADA:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,18,5.0,34,0.22294755283379264,22.294755283379263,0.6557280965699783,20,14,58.82352941176471,1.476844715391129
2023H2,ADA,ADA:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,18,5.0,51,0.5558467425550939,55.58467425550939,1.089895573637439,31,20,60.78431372549019,1.9515067981811163
2024,ADA,ADA:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,18,5.0,180,1.2537791687927595,125.37791687927596,0.6965439826626442,85,95,47.22222222222222,1.4461344447916666
2025,ADA,ADA:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,18,5.0,171,0.7746974618294383,77.46974618294384,0.45303945136224466,80,91,46.783625730994146,1.2310911290982116
2026_01_05,ADA,ADA:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,18,5.0,51,0.01770383026667599,1.770383026667599,0.034713392679756844,25,26,49.01960784313725,1.0296076180652594
2023H2,ADA,ADA:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,35,-0.3421813112760791,-34.21813112760791,-0.9776608893602259,16,19,45.714285714285715,0.5555299376893352
2024,ADA,ADA:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,55,-0.31733562134140914,-31.733562134140914,-0.5769738569843802,24,31,43.63636363636363,0.7945964756361611
2025,ADA,ADA:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,32,0.04875736182830215,4.875736182830215,0.1523667557134442,18,14,56.25,1.0651777638797237
2026_01_05,ADA,ADA:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,15,0.08629526724573122,8.629526724573122,0.5753017816382082,9,6,60.0,1.2740427657983282
2023H2,ADA,ADA:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,20,-0.0683146017343661,-6.83146017343661,-0.3415730086718305,9,11,45.0,0.7865023931019193
2024,ADA,ADA:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,62,-0.06042738196714581,-6.042738196714581,-0.09746351930184809,29,33,46.774193548387096,0.9621419470184427
2025,ADA,ADA:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,45,0.09583607429001939,9.583607429001939,0.21296905397782087,23,22,51.11111111111111,1.100176699120635
2026_01_05,ADA,ADA:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,26,-0.1914742331189978,-19.14742331189978,-0.7364393581499915,15,11,57.692307692307686,0.6095673311003528
2023H2,ADA,ADA:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,147,1.0721255234444271,107.21255234444271,0.7293370907785219,66,81,44.89795918367347,1.5899588015315964
2024,ADA,ADA:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,299,0.18548183276349617,18.54818327634962,0.0620340577804335,125,174,41.80602006688963,1.0294254653319876
2025,ADA,ADA:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,269,0.9792391569903596,97.92391569903596,0.36402942639046826,131,138,48.698884758364315,1.2271881845847274
2026_01_05,ADA,ADA:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,106,-0.5408584582575786,-54.08584582575786,-0.5102438285448855,48,58,45.28301886792453,0.7328795334511122
2023H2,ADA,ADA:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,24,4.0,137,-1.2384761714020045,-123.84761714020046,-0.9039972054029229,53,84,38.68613138686132,0.5737021176935759
2024,ADA,ADA:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,24,4.0,277,-0.3646793440822709,-36.46793440822709,-0.13165319280948407,117,160,42.238267148014444,0.9378867286529382
