coin,timeframe,rows,start,end,file_mb
AAVE,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.2099246978759766
AAVE,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.5894336700439453
AAVE,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,28.392152786254883
ADA,15m,105086,2023-06-02 00:00:00+00:00,2026-05-31 15:15:00+00:00,2.140542984008789
ADA,1h,26272,2023-06-02 00:00:00+00:00,2026-05-31 15:00:00+00:00,0.5848712921142578
ALGO,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,1.987771987915039
ALGO,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.5548801422119141
APT,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.362131118774414
APT,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.6326770782470703
APT,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,30.688081741333008
ARB,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.235971450805664
ARB,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.6033649444580078
ATOM,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.1766834259033203
ATOM,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.5811252593994141
AVAX,15m,105086,2023-06-02 00:00:00+00:00,2026-05-31 15:15:00+00:00,2.2756290435791016
AVAX,1h,26272,2023-06-02 00:00:00+00:00,2026-05-31 15:00:00+00:00,0.6027698516845703
AVAX,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,29.344552993774414
BCH,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.3802356719970703
BCH,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.6287021636962891
BCH,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,31.767053604125977
BNB,15m,105086,2023-06-02 00:00:00+00:00,2026-05-31 15:15:00+00:00,2.3329715728759766
BNB,1h,26272,2023-06-02 00:00:00+00:00,2026-05-31 15:00:00+00:00,0.6189594268798828
BNB,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,31.110429763793945
BTC,15m,105086,2023-06-02 00:00:00+00:00,2026-05-31 15:15:00+00:00,2.5518665313720703
BTC,1h,26272,2023-06-02 00:00:00+00:00,2026-05-31 15:00:00+00:00,0.6675891876220703
BTC,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,34.788339614868164
COMP,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.134408950805664
COMP,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.5694599151611328
COMP,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,26.125810623168945
DOGE,15m,105086,2023-06-02 00:00:00+00:00,2026-05-31 15:15:00+00:00,2.446146011352539
DOGE,1h,26272,2023-06-02 00:00:00+00:00,2026-05-31 15:00:00+00:00,0.6560459136962891
DOGE,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,31.458894729614258
DOT,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.1217899322509766
DOT,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.5730457305908203
EOS,15m,69061,2023-06-02 00:00:00+00:00,2025-05-21 09:00:00+00:00,1.1245670318603516
EOS,1h,17266,2023-06-02 00:00:00+00:00,2025-05-21 09:00:00+00:00,0.31598854064941406
ETC,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.325937271118164
ETC,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.6120929718017578
ETC,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,30.423158645629883
ETH,15m,105086,2023-06-02 00:00:00+00:00,2026-05-31 15:15:00+00:00,2.574342727661133
ETH,1h,26272,2023-06-02 00:00:00+00:00,2026-05-31 15:00:00+00:00,0.6679782867431641
ETH,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,35.35404396057129
FIL,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.0734195709228516
FIL,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.5675983428955078
INJ,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.277048110961914
INJ,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.6115207672119141
LINK,15m,105086,2023-06-02 00:00:00+00:00,2026-05-31 15:15:00+00:00,2.3211612701416016
LINK,1h,26272,2023-06-02 00:00:00+00:00,2026-05-31 15:00:00+00:00,0.6101322174072266
LINK,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,30.450159072875977
LTC,15m,105086,2023-06-02 00:00:00+00:00,2026-05-31 15:15:00+00:00,2.1974735260009766
LTC,1h,26272,2023-06-02 00:00:00+00:00,2026-05-31 15:00:00+00:00,0.5820331573486328
LTC,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,27.677995681762695
MKR,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,1.7999134063720703
MKR,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.48696327209472656
MKR,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,23.029245376586914
NEAR,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.016702651977539
NEAR,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.5555591583251953
OP,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.3038806915283203
OP,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.6225070953369141
OP,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,29.78025245666504
SOL,15m,105086,2023-06-02 00:00:00+00:00,2026-05-31 15:15:00+00:00,2.3433094024658203
SOL,1h,26272,2023-06-02 00:00:00+00:00,2026-05-31 15:00:00+00:00,0.6249637603759766
SOL,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,31.075281143188477
SUI,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.394136428833008
SUI,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.6419925689697266
SUI,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,31.379114151000977
TRX,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.341104507446289
TRX,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.6375751495361328
TRX,1m,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,28.4307804107666
UNI,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.1549015045166016
UNI,1h,26273,2023-06-02 00:00:00+00:00,2026-05-31 16:00:00+00:00,0.5683917999267578
XLM,15m,105092,2023-06-02 00:00:00+00:00,2026-05-31 16:45:00+00:00,2.4109973907470703
