coin,has_1m,has_15m,has_1h,one_m_rows,one_m_start,one_m_end,timeframes
AAVE,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
ADA,False,True,True,0,,,"15m,1h"
ALGO,False,True,True,0,,,"15m,1h"
APT,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
ARB,False,True,True,0,,,"15m,1h"
ATOM,False,True,True,0,,,"15m,1h"
AVAX,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
BCH,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
BNB,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
BTC,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
COMP,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
DOGE,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
DOT,False,True,True,0,,,"15m,1h"
EOS,False,True,True,0,,,"15m,1h"
ETC,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
ETH,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
FIL,False,True,True,0,,,"15m,1h"
INJ,False,True,True,0,,,"15m,1h"
LINK,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
LTC,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
MKR,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
NEAR,False,True,True,0,,,"15m,1h"
OP,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
SOL,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
SUI,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
TRX,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
UNI,False,True,True,0,,,"15m,1h"
XLM,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
XRP,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
XTZ,True,True,True,1576800,2023-06-02 00:00:00+00:00,2026-05-31 23:59:00+00:00,"15m,1h,1m"
