step,objective,profit,daily,min_slice_daily,trades,trades_per_day,min_slice_trades_per_day,max_dd,positive_slices,added
1,0.22776613594148523,0.1392864991521956,0.00013093446326339908,9.478618965275132e-05,121,0.1214859437751004,0.08360128617363344,0.03614843486195729,3,"OP|ma_offset_reversion|long|market_contra|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2,0.2801598177715573,0.19829983563135856,0.00018128271082540337,0.00017222226937541052,159,0.1593186372745491,0.10888252148997135,0.04017475016816108,3,"ETC|ma_offset_reversion|long|market_chop|18|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
3,0.3380519724444424,0.260166831452338,0.00023173437944334907,0.000244468306747736,220,0.22044088176352705,0.12,0.03706065241651468,3,"XRP|ma_offset_reversion|long|market_aligned|18|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.002,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=14,slope_guard=0.003,volume_mult=0.7"
4,0.3756401865010426,0.30373340189075404,0.00025704077757637833,0.00029778468657370993,244,0.2364341085271318,0.08333333333333333,0.0338781671071563,3,"APT|vwap_stretch_reversion|long|market_aligned|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
5,0.4005395616138074,0.3217423178654002,0.0002703377013411057,0.0003090562627037219,279,0.2703488372093023,0.10714285714285714,0.02507971323050373,3,"SOL|vwap_stretch_reversion|long|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
6,0.42756203749039645,0.3537462904907456,0.0002935273528534843,0.00034800706506299406,304,0.29457364341085274,0.13095238095238096,0.026041071840223418,3,"ETC|vwap_stretch_reversion|long|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
7,0.4439043297832855,0.36100963822188503,0.00029871399118497344,0.00035899848705023274,380,0.3682170542635659,0.16666666666666666,0.023259904055351055,3,"LTC|ma_offset_reversion|long|market_contra|3|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
8,0.45791794911593864,0.38692336175362474,0.0003169958576900722,0.00037055899055915553,399,0.3866279069767442,0.19047619047619047,0.0232599040553515,3,"DOGE|vwap_stretch_reversion|short|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
9,0.4726315483709135,0.4103115739350147,0.000333205359492883,0.00038436396337382384,422,0.40891472868217055,0.21428571428571427,0.02283610917686474,3,"LTC|ma_offset_reversion|long|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
10,0.4906327322268407,0.4383831459732612,0.00035230978630917953,0.0004176174585728276,470,0.45542635658914726,0.23529411764705882,0.029940668215783783,3,"XLM|ma_offset_reversion|long|market_aligned|12|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.002,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
11,0.504495649941009,0.46786940204292304,0.00036386899284468477,0.00043630467364574876,480,0.4549763033175355,0.19444444444444445,0.02879636699488053,3,"XTZ|vwap_stretch_reversion|long|market_chop|8|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
