date,profit,exit_reason,raw_profit,candidate_id,pair,template,side,regime,hold,tp,sl,candidate_key
2023-06-03 01:28:00+00:00,-0.002969401222561868,fixed_hold,-0.023755209780494942,1m:OP:ma_offset_reversion:long:market_contra:h12:tp0.0:sl0.0:764d46ed63,OP,ma_offset_reversion,long,market_contra,12,0.0,0.0,"OP|ma_offset_reversion|long|market_contra|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2023-06-06 12:12:00+00:00,0.004464576547231273,fixed_hold,0.03571661237785018,1m:LTC:ma_offset_reversion:long:market_contra:h3:tp0.0:sl0.0:b59bbcfd6a,LTC,ma_offset_reversion,long,market_contra,3,0.0,0.0,"LTC|ma_offset_reversion|long|market_contra|3|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2023-06-06 12:12:00+00:00,0.010325739623725447,fixed_hold,0.08260591698980357,1m:OP:ma_offset_reversion:long:market_contra:h12:tp0.0:sl0.0:764d46ed63,OP,ma_offset_reversion,long,market_contra,12,0.0,0.0,"OP|ma_offset_reversion|long|market_contra|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2023-06-10 08:01:00+00:00,0.00232997847717166,fixed_hold,0.01863982781737328,1m:ETC:ma_offset_reversion:long:market_chop:h18:tp0.0:sl0.0:8e314e8647,ETC,ma_offset_reversion,long,market_chop,18,0.0,0.0,"ETC|ma_offset_reversion|long|market_chop|18|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2023-06-11 03:47:00+00:00,-0.00010320037105764014,fixed_hold,-0.0008256029684611211,1m:OP:ma_offset_reversion:long:market_contra:h12:tp0.0:sl0.0:764d46ed63,OP,ma_offset_reversion,long,market_contra,12,0.0,0.0,"OP|ma_offset_reversion|long|market_contra|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2023-06-12 02:23:00+00:00,-0.0013692445091294243,fixed_hold,-0.010953956073035395,1m:LTC:ma_offset_reversion:long:market_contra:h3:tp0.0:sl0.0:b59bbcfd6a,LTC,ma_offset_reversion,long,market_contra,3,0.0,0.0,"LTC|ma_offset_reversion|long|market_contra|3|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2023-06-13 15:03:00+00:00,-0.0017841451028879208,fixed_hold,-0.014273160823103367,1m:OP:ma_offset_reversion:long:market_contra:h12:tp0.0:sl0.0:764d46ed63,OP,ma_offset_reversion,long,market_contra,12,0.0,0.0,"OP|ma_offset_reversion|long|market_contra|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2023-06-16 14:47:00+00:00,0.009690813739050216,fixed_hold,0.07752650991240173,1m:OP:ma_offset_reversion:long:market_contra:h12:tp0.0:sl0.0:764d46ed63,OP,ma_offset_reversion,long,market_contra,12,0.0,0.0,"OP|ma_offset_reversion|long|market_contra|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2023-06-24 21:14:00+00:00,0.001412727061015293,fixed_hold,0.011301816488122344,1m:OP:ma_offset_reversion:long:market_contra:h12:tp0.0:sl0.0:764d46ed63,OP,ma_offset_reversion,long,market_contra,12,0.0,0.0,"OP|ma_offset_reversion|long|market_contra|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2023-06-26 20:31:00+00:00,0.0002584402522563123,fixed_hold,0.002067522018050498,1m:ETC:ma_offset_reversion:long:market_chop:h18:tp0.0:sl0.0:8e314e8647,ETC,ma_offset_reversion,long,market_chop,18,0.0,0.0,"ETC|ma_offset_reversion|long|market_chop|18|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
