rank,scope,template,side,regime,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
1,OP,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,9,0.009966777408637873,0.00794927255846467,8.768414455628815e-06,2.0893976198088637e-05,0.017241379310344827,3,0.5555555555555556,1.1348493049261983,0.04189294036866331,0.0072975258630487705,2.0893976198088637e-05,0.017241379310344827,0.0008978070880922839,0.0008978070880922839,1.0,0.010860428231562302,0.010860428231562302,1.0,0.28937837104506925,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
2,OP,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,9,0.009966777408637873,0.00794927255846467,8.768414455628815e-06,2.0893976198088637e-05,0.017241379310344827,3,0.5555555555555556,1.1348493049261983,0.04189294036866331,0.0072975258630487705,2.0893976198088637e-05,0.017241379310344827,0.0008978070880922839,0.0008978070880922839,1.0,0.010860428231562302,0.010860428231562302,1.0,0.28937837104506925,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
3,OP,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,9,0.009966777408637873,0.00794927255846467,8.768414455628815e-06,2.0893976198088637e-05,0.017241379310344827,3,0.5555555555555556,1.1348493049261983,0.04189294036866331,0.0072975258630487705,2.0893976198088637e-05,0.017241379310344827,0.0008978070880922839,0.0008978070880922839,1.0,0.010860428231562302,0.010860428231562302,1.0,0.28937837104506925,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
4,OP,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,9,0.009966777408637873,0.00794927255846467,8.768414455628815e-06,2.0893976198088637e-05,0.017241379310344827,3,0.5555555555555556,1.1348493049261983,0.04189294036866331,0.0072975258630487705,2.0893976198088637e-05,0.017241379310344827,0.0008978070880922839,0.0008978070880922839,1.0,0.010860428231562302,0.010860428231562302,1.0,0.28937837104506925,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
5,SUI,vwap_stretch_reversion,short,market_aligned,8,5.0,0.0,0.0,13,0.01597051597051597,0.1357298928113695,0.00015637035923199427,0.0,0.017123287671232876,2,0.46153846153846156,3.6687078372907442,0.02337551073980615,0.08121377434029009,0.00026472749245298743,0.020338983050847456,0.025706726911916222,8.69279720985272e-05,0.017123287671232876,0.0,0.0,0.0,0.14579702058469002,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=2.4"
6,SUI,vwap_stretch_reversion,short,market_aligned,8,5.0,0.0,0.0,13,0.01597051597051597,0.1357298928113695,0.00015637035923199427,0.0,0.017123287671232876,2,0.46153846153846156,3.6687078372907442,0.02337551073980615,0.08121377434029009,0.00026472749245298743,0.020338983050847456,0.025706726911916222,8.69279720985272e-05,0.017123287671232876,0.0,0.0,0.0,0.14579702058469002,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=2.4"
7,SUI,vwap_stretch_reversion,short,market_aligned,8,5.0,0.0,0.0,14,0.0171990171990172,0.13342136172360908,0.0001538703282826237,0.0,0.017123287671232876,2,0.42857142857142855,3.5231218348671245,0.02337551073980637,0.07901605494734443,0.0002578283697665107,0.023728813559322035,0.025706726911916222,8.69279720985272e-05,0.017123287671232876,0.0,0.0,0.0,0.14511543943729344,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
8,SUI,vwap_stretch_reversion,short,market_aligned,8,5.0,0.0,0.0,14,0.0171990171990172,0.13342136172360908,0.0001538703282826237,0.0,0.017123287671232876,2,0.42857142857142855,3.5231218348671245,0.02337551073980637,0.07901605494734443,0.0002578283697665107,0.023728813559322035,0.025706726911916222,8.69279720985272e-05,0.017123287671232876,0.0,0.0,0.0,0.14511543943729344,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
9,SUI,vwap_stretch_reversion,short,market_aligned,8,5.0,0.0,0.0,17,0.020884520884520884,0.11946932359460471,0.000138651816189439,0.0,0.023728813559322035,2,0.4117647058823529,2.4030908985713793,0.03539743177644228,0.07901605494734443,0.0002578283697665107,0.023728813559322035,0.013080619934993765,4.4507180228636756e-05,0.0273972602739726,0.0,0.0,0.0,0.12819407137152064,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
10,SUI,vwap_stretch_reversion,short,market_aligned,8,5.0,0.0,0.0,17,0.020884520884520884,0.11946932359460471,0.000138651816189439,0.0,0.023728813559322035,2,0.4117647058823529,2.4030908985713793,0.03539743177644228,0.07901605494734443,0.0002578283697665107,0.023728813559322035,0.013080619934993765,4.4507180228636756e-05,0.0273972602739726,0.0,0.0,0.0,0.12819407137152064,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
11,BNB,vwap_stretch_reversion,long,market_chop,12,5.0,0.0,0.0,13,0.013471502590673576,0.03301740776948425,3.3662785915655746e-05,-3.382885398472979e-06,0.02824858757062147,2,0.46153846153846156,1.5064766536237948,0.02871275564692788,0.005301862612069996,5.5663204083789e-05,0.042105263157894736,-0.0005985925002987003,-3.382885398472979e-06,0.02824858757062147,0.0029285272277230767,0.0029285272277230767,1.0,0.10701678981765705,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=14,volume_mult=0.7,z_entry=2.4"
12,BNB,vwap_stretch_reversion,long,market_chop,12,5.0,0.0,0.0,13,0.013471502590673576,0.03301740776948425,3.3662785915655746e-05,-3.382885398472979e-06,0.02824858757062147,2,0.46153846153846156,1.5064766536237948,0.02871275564692788,0.005301862612069996,5.5663204083789e-05,0.042105263157894736,-0.0005985925002987003,-3.382885398472979e-06,0.02824858757062147,0.0029285272277230767,0.0029285272277230767,1.0,0.10701678981765705,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=14,volume_mult=0.7,z_entry=2.4"
