base,pair,total_profit_abs,total_trades,avg_window_profit_pct,losing_windows
MKR,MKR/USDT:USDT,15408.947463899998,419,51.363158213,0
SOL,SOL/USDT:USDT,9097.4446759,220,30.32481558633333,0
XLM,XLM/USDT:USDT,7691.3846082499995,135,25.637948694166663,0
AAVE,AAVE/USDT:USDT,7363.418405449998,118,24.544728018166662,0
XTZ,XTZ/USDT:USDT,6450.27459488,142,21.50091531626667,0
XRP,XRP/USDT:USDT,5440.72758786,108,18.1357586262,0
ETH,ETH/USDT:USDT,4096.8108035899995,49,13.656036011966664,0
SUI,SUI/USDT:USDT,3490.4771679100004,146,11.634923893033337,0
ETC,ETC/USDT:USDT,3338.06065584,62,11.1268688528,0
LTC,LTC/USDT:USDT,3059.12678788,227,10.197089292933331,0
COMP,COMP/USDT:USDT,3017.73607618,44,10.059120253933333,1
OP,OP/USDT:USDT,2637.0137443999997,115,8.790045814666668,1
APT,APT/USDT:USDT,1499.3023199699996,62,4.997674399899998,1
DOGE,DOGE/USDT:USDT,1056.91359121,61,3.5230453040333334,0
BCH,BCH/USDT:USDT,0.0,0,0.0,0
AVAX,AVAX/USDT:USDT,0.0,0,0.0,0
LINK,LINK/USDT:USDT,0.0,0,0.0,0
BNB,BNB/USDT:USDT,0.0,0,0.0,0
BTC,BTC/USDT:USDT,0.0,0,0.0,0
TRX,TRX/USDT:USDT,0.0,0,0.0,0
