window,strategy,pair,base,side,enter_tag,open_date,close_date,profit_abs,profit_ratio_pct,duration_min,leverage
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2023-06-03 01:29:00+00:00,2023-06-03 01:41:00+00:00,-71.8971305,-1.4372245268996255,12,5.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,long,s10_07_ltc_maoff_l_mc_h3m_l5,2023-06-06 12:13:00+00:00,2023-06-06 12:16:00+00:00,-48.0457739,-0.9604374663025876,3,5.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,XRP/USDT:USDT,XRP,short,s9_10_xrp_rsi_s_mx_h24_l4,2023-06-06 19:56:00+00:00,2023-06-06 21:56:00+00:00,-76.86804801,-1.5381317033142947,120,4.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_07_mkr_range_s_mc_h24_l4,2023-06-07 00:06:00+00:00,2023-06-07 02:06:00+00:00,162.3544506,3.248797707472829,120,4.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,AAVE/USDT:USDT,AAVE,long,s9_01_aave_panic_l_mc_h24_l4,2023-06-07 14:41:00+00:00,2023-06-07 16:41:00+00:00,-223.9059078,-4.475989430034147,120,4.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,short,s9_16_ltc_vwap_s_lc_h18_l5,2023-06-10 00:06:00+00:00,2023-06-10 01:36:00+00:00,165.82790169,3.3182191903760696,90,5.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,AAVE/USDT:USDT,AAVE,long,s9_01_aave_panic_l_mc_h24_l4,2023-06-10 04:31:00+00:00,2023-06-10 06:31:00+00:00,-16.1361123,-0.32256774589125997,120,4.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,ETC/USDT:USDT,ETC,long,s10_02_etc_maoff_l_mchop_h18m_l5,2023-06-10 08:02:00+00:00,2023-06-10 08:20:00+00:00,165.71689688,3.31268994478026,18,5.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2023-06-11 03:48:00+00:00,2023-06-11 04:00:00+00:00,37.67756737,0.7531769231441132,12,5.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,long,s10_07_ltc_maoff_l_mc_h3m_l5,2023-06-12 02:24:00+00:00,2023-06-12 02:27:00+00:00,-335.74812431,-6.711626514372596,3,5.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,AAVE/USDT:USDT,AAVE,long,s9_01_aave_panic_l_mc_h24_l4,2023-06-12 02:31:00+00:00,2023-06-12 04:31:00+00:00,112.3812795,2.2465588397854055,120,4.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2023-06-13 15:04:00+00:00,2023-06-13 15:16:00+00:00,-9.5510933,-0.19092644113663004,12,5.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,long,s9_11_mkr_micro_l_mchop_h18_l5,2023-06-15 08:11:00+00:00,2023-06-15 09:41:00+00:00,-219.8472743,-4.394792622403707,90,5.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2023-06-16 14:48:00+00:00,2023-06-16 15:00:00+00:00,355.62471144,7.108959368274061,12,5.0
