rule,removed,2024_delta,2024_removed,2025_delta,2025_removed,2026_delta,2026_removed,sum_delta
btc_bb_width >= 0.02,5,1773.5773033499995,3,604.7971728999996,2,0.0,0,2378.374476249999
btc_bb_width >= 0.015,11,1881.5342078500003,5,594.4337586999995,4,-339.9346982000002,2,2136.0332683499996
roc_48 >= 0 AND btc_roc_48 >= 0,57,369.22141324999984,13,55.20949679999967,33,1331.63300133,11,1756.0639113799996
roc_48 >= 0 AND btc_roc_48 >= -0.01,75,-672.3034111000009,22,-80.07668379999996,39,2384.19890948,14,1631.8188145799993
roc_48 >= 0 AND btc_ema_50_slope >= -0.01,75,-672.3034111000009,22,-80.07668379999996,39,2384.19890948,14,1631.8188145799993
roc_48 >= 0.0,76,-672.3034111000009,22,-130.65859600000022,40,2384.19890948,14,1581.236902379999
btc_ema_50_slope <= -0.01,6,1622.1951654999998,5,-50.581912199999806,1,0.0,0,1571.6132533
rsi >= 60,85,863.3648972499996,37,-663.8023515,33,1299.74358962,15,1499.3061353699995
btc_bb_width >= 0.012,21,1226.34516845,11,543.8518464999997,5,-452.49169184999994,5,1317.7053231
btc_roc_48 <= -0.02,6,1212.3976003999996,4,7.678098949999821,2,0.0,0,1220.0756993499995
btc_bb_width >= 0.01,35,922.8755648000001,18,429.18085040000005,9,-310.47441534999984,8,1041.5819998500003
roc_48 <= -0.02,5,1722.457715,2,-768.22812075,3,0.0,0,954.22959425
bb_width <= 0.01,60,-319.5348741500002,10,-329.7726587500001,32,1520.26681932,18,870.9592864199997
bb_width <= 0.01 AND rsi_fast >= 50,60,-319.5348741500002,10,-329.7726587500001,32,1520.26681932,18,870.9592864199997
bb_width <= 0.01 AND rsi_fast >= 55,60,-319.5348741500002,10,-329.7726587500001,32,1520.26681932,18,870.9592864199997
bb_width <= 0.01 AND rsi_fast >= 60,60,-319.5348741500002,10,-329.7726587500001,32,1520.26681932,18,870.9592864199997
bb_width <= 0.01 AND rsi_fast >= 65,60,-319.5348741500002,10,-329.7726587500001,32,1520.26681932,18,870.9592864199997
bb_width <= 0.01 AND rsi_fast >= 70,60,-319.5348741500002,10,-329.7726587500001,32,1520.26681932,18,870.9592864199997
rsi >= 65,24,582.6859096500007,9,-1255.6277487500001,10,1482.48951303,5,809.5476739300004
roc_48 >= -0.01 AND btc_roc_48 >= 0,78,-58.46829875000003,22,-336.6139502000001,43,1079.55700393,13,684.47475498
bb_width <= 0.012,75,-534.7029462500004,17,-89.3206154999998,38,1288.80302317,20,664.7794614199997
bb_width <= 0.012 AND rsi_fast >= 50,75,-534.7029462500004,17,-89.3206154999998,38,1288.80302317,20,664.7794614199997
bb_width <= 0.012 AND rsi_fast >= 55,75,-534.7029462500004,17,-89.3206154999998,38,1288.80302317,20,664.7794614199997
bb_width <= 0.012 AND rsi_fast >= 60,75,-534.7029462500004,17,-89.3206154999998,38,1288.80302317,20,664.7794614199997
bb_width <= 0.012 AND rsi_fast >= 65,75,-534.7029462500004,17,-89.3206154999998,38,1288.80302317,20,664.7794614199997
bb_width <= 0.012 AND rsi_fast >= 70,75,-534.7029462500004,17,-89.3206154999998,38,1288.80302317,20,664.7794614199997
roc_48 >= 0 AND btc_ema_50_slope >= 0,32,484.2936287500006,7,-121.5015280499997,19,192.4712981199998,6,555.2633988200007
btc_roc_48 <= -0.01,12,1393.5843529000003,8,-1075.4740480500002,3,-218.68770000000018,1,99.42260484999997
roc_24 >= 0.01,29,1458.2344219499983,17,-2106.7210237,8,655.1042024499999,4,6.617600699998206
btc_bb_width <= 0.004,39,-241.07929365000018,8,-1046.69479995,20,1267.00795884,11,-20.76613476000034
roc_48 >= 0 AND btc_roc_48 >= 0.01,11,-325.1270821999997,4,386.0444747499996,5,-86.79770965000012,2,-25.880317100000184
roc_24 >= 0.02,7,1206.7578721999998,5,-1083.152147,1,-251.78225700000007,1,-128.17653180000025
roc_48 >= -0.01 AND btc_roc_48 >= 0.01,12,-325.1270821999997,4,386.0444747499996,5,-208.0447078499999,3,-147.12731529999996
btc_roc_48 >= 0.01,14,-183.2392362000005,5,386.0444747499996,5,-404.3688358500001,4,-201.563597300001
btc_ema_50_slope <= -0.005,18,1292.5544182000003,10,-1317.1359017500001,7,-218.68770000000018,1,-243.26918354999998
btc_roc_48 >= 0.02,3,143.7728004999999,1,-304.77797999999984,1,-155.01447650000023,1,-316.01965600000017
roc_48 >= -0.01 AND btc_roc_48 >= 0.02,3,143.7728004999999,1,-304.77797999999984,1,-155.01447650000023,1,-316.01965600000017
