pair,base,total_profit_abs,total_profit_pct_points,total_trades,profitable_windows,losing_windows,windows_with_trades,zero_trade_windows,min_window_profit_abs,min_window_profit_pct,min_window_trades,2023H2_profit_abs,2023H2_profit_pct,2023H2_trades,2024_profit_abs,2024_profit_pct,2024_trades,2025_profit_abs,2025_profit_pct,2025_trades,2026_01_05_profit_abs,2026_01_05_profit_pct,2026_01_05_trades
MKR/USDT:USDT,MKR,3202.2172,32.0222,555,3,0,3,1,0.0,0.0,0,58.6699,0.5867,134,1199.6586,11.9966,254,1943.8887,19.4389,167,0.0,0.0,0
SOL/USDT:USDT,SOL,1998.8391,19.9884,289,4,0,4,0,97.248,0.9725,24,120.6613,1.2066,68,1184.5278,11.8453,105,596.402,5.964,92,97.248,0.9725,24
AAVE/USDT:USDT,AAVE,1945.4338,19.4543,139,4,0,4,0,29.9025,0.299,19,29.9025,0.299,19,910.1924,9.1019,52,538.2592,5.3826,47,467.0797,4.6708,21
XLM/USDT:USDT,XLM,1633.533,16.3353,157,4,0,4,0,119.6541,1.1965,14,135.3932,1.3539,20,1033.2494,10.3325,47,345.2363,3.4524,76,119.6541,1.1965,14
ICP/USDT:USDT,ICP,1459.3087,14.5931,201,4,0,4,0,57.2995,0.573,28,57.2995,0.573,33,335.5661,3.3557,80,918.4844,9.1848,60,147.9587,1.4796,28
DOT/USDT:USDT,DOT,1396.9324,13.9693,159,3,1,4,0,-240.0604,-2.4006,19,-240.0604,-2.4006,19,401.1749,4.0117,59,351.7251,3.5173,51,884.0928,8.8409,30
XTZ/USDT:USDT,XTZ,1254.4133,12.5441,174,3,1,4,0,-35.6192,-0.3562,25,-35.6192,-0.3562,32,560.992,5.6099,60,433.6302,4.3363,57,295.4103,2.9541,25
NEAR/USDT:USDT,NEAR,1230.4787,12.3047,266,3,1,4,0,-22.5686,-0.2257,39,-22.5686,-0.2257,41,302.9415,3.0294,101,801.6928,8.0169,85,148.413,1.4841,39
XRP/USDT:USDT,XRP,1130.6297,11.3063,124,4,0,4,0,25.4327,0.2543,14,25.4327,0.2543,15,177.41,1.7741,49,635.7577,6.3576,46,292.0293,2.9203,14
FET/USDT:USDT,FET,963.8852,9.6389,332,4,0,4,0,69.9329,0.6993,39,303.8109,3.0381,70,423.6661,4.2367,128,166.4753,1.6648,95,69.9329,0.6993,39
ETH/USDT:USDT,ETH,932.0935,9.3209,56,4,0,4,0,26.2323,0.2623,2,112.9715,1.1297,7,157.6593,1.5766,28,635.2304,6.3523,19,26.2323,0.2623,2
UNI/USDT:USDT,UNI,742.9755,7.4297,215,2,2,4,0,-280.0372,-2.8004,31,-19.8882,-0.1989,31,576.6885,5.7669,75,-280.0372,-2.8004,76,466.2124,4.6621,33
ETC/USDT:USDT,ETC,728.4103,7.284,67,4,0,4,0,13.1639,0.1316,5,60.8137,0.6081,5,471.3577,4.7136,37,183.075,1.8307,20,13.1639,0.1316,5
OP/USDT:USDT,OP,714.0791,7.1407,138,4,0,4,0,4.2918,0.0429,12,167.58,1.6758,22,4.2918,0.0429,75,477.395,4.7739,29,64.8123,0.6481,12
LTC/USDT:USDT,LTC,603.8892,6.0389,262,3,1,4,0,-36.7232,-0.3672,17,-36.7232,-0.3672,33,198.0234,1.9802,93,420.9574,4.2096,119,21.6316,0.2163,17
COMP/USDT:USDT,COMP,592.7652,5.9277,45,2,2,4,0,-30.5413,-0.3054,1,-10.7795,-0.1078,1,403.7492,4.0375,23,230.3368,2.3034,17,-30.5413,-0.3054,4
SUI/USDT:USDT,SUI,506.4985,5.065,181,3,1,4,0,-191.5724,-1.9157,26,-191.5724,-1.9157,35,331.5531,3.3155,57,99.5762,0.9958,63,266.9416,2.6694,26
DOGE/USDT:USDT,DOGE,338.3154,3.3832,74,4,0,4,0,33.9026,0.339,5,110.8761,1.1088,11,132.9466,1.3295,46,60.5901,0.6059,12,33.9026,0.339,5
APT/USDT:USDT,APT,274.9918,2.7499,64,2,2,4,0,-27.8368,-0.2784,2,-24.8558,-0.2486,2,241.0765,2.4108,23,-27.8368,-0.2784,32,86.6079,0.8661,7
MANA/USDT:USDT,MANA,135.2529,1.3525,125,2,2,4,0,-5.5565,-0.0556,19,-5.5565,-0.0556,19,-1.4613,-0.0146,37,50.7939,0.5079,41,91.4768,0.9148,28
