window,pair,base,trades,profit_abs,profit_pct,avg_profit_pct,cagr_pct,wins,losses,winrate_pct,profit_factor,max_drawdown_pct,max_drawdown_abs
2023H2,FET/USDT:USDT,FET,70,303.8109,3.0381,0.4338,5.3136,33,37,47.1429,1.21,3.8331,397.7206
2023H2,OP/USDT:USDT,OP,22,167.58,1.6758,0.7614,2.9166,11,11,50.0,1.8216,1.395,143.848
2023H2,XLM/USDT:USDT,XLM,20,135.3932,1.3539,0.6766,2.3537,10,10,50.0,1.9617,0.8266,83.8415
2023H2,SOL/USDT:USDT,SOL,68,120.6613,1.2066,0.1779,2.0964,35,33,51.4706,1.0815,5.0376,505.5693
2023H2,ETH/USDT:USDT,ETH,7,112.9715,1.1297,1.6135,1.9623,3,4,42.8571,2.545,0.2634,26.3365
2023H2,DOGE/USDT:USDT,DOGE,11,110.8761,1.1088,1.0084,1.9258,5,6,45.4545,1.9549,0.7424,74.5415
2023H2,ETC/USDT:USDT,ETC,5,60.8137,0.6081,1.2157,1.0543,2,3,40.0,3.3343,0.2597,26.0519
2023H2,MKR/USDT:USDT,MKR,134,58.6699,0.5867,0.0436,1.0171,55,79,41.0448,1.0251,5.7889,618.0679
2023H2,ICP/USDT:USDT,ICP,33,57.2995,0.573,0.1737,0.9933,18,15,54.5455,1.147,0.955,96.9694
2023H2,AAVE/USDT:USDT,AAVE,19,29.9025,0.299,0.1574,0.5178,11,8,57.8947,1.0652,3.1579,315.7888
2023H2,XRP/USDT:USDT,XRP,15,25.4327,0.2543,0.1697,0.4404,7,8,46.6667,1.2062,0.644,64.4034
2023H2,MANA/USDT:USDT,MANA,19,-5.5565,-0.0556,-0.0293,-0.0961,10,9,52.6316,0.9861,1.9531,199.0936
2023H2,COMP/USDT:USDT,COMP,1,-10.7795,-0.1078,-1.0774,-0.1864,0,1,0.0,0.0,0.1078,10.7795
2023H2,UNI/USDT:USDT,UNI,31,-19.8882,-0.1989,-0.0642,-0.3438,17,14,54.8387,0.9571,2.0373,206.7587
2023H2,NEAR/USDT:USDT,NEAR,41,-22.5686,-0.2257,-0.0551,-0.3901,17,24,41.4634,0.969,3.1977,329.3239
2023H2,APT/USDT:USDT,APT,2,-24.8558,-0.2486,-1.2422,-0.4296,0,2,0.0,0.0,0.2486,24.8558
2023H2,XTZ/USDT:USDT,XTZ,32,-35.6192,-0.3562,-0.1112,-0.6154,16,16,50.0,0.9154,1.952,195.2671
