rank,template,side,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
1,vwap_reclaim,short,12,4.0,0.0,0.0,7510,6.877289377289378,-0.9999999999999719,-0.012571871819585523,-0.028531577251478923,5.406666666666666,0,0.4515312916111851,0.8373737288192671,0.9999999999999825,-0.9998808199380369,-0.024449237072989183,7.906849315068493,-0.9999726716160249,-0.028531577251478923,7.707988980716253,-0.9828510653316493,-0.026741405204453894,5.406666666666666,-15.688314815907413,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
2,vwap_reclaim,short,6,4.0,0.0,0.0,7510,6.877289377289378,-0.9999999999997826,-0.012571871819585523,-0.030930590347716502,5.406666666666666,0,0.44274300932090543,0.7553034021514484,0.999999999999828,-0.9999893960222931,-0.030894301246906286,7.906849315068493,-0.9999888615929465,-0.030930590347716502,7.707988980716253,-0.8248040212655601,-0.0115451707651123,5.406666666666666,-16.55197040141682,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
3,wick_reversal,long,12,4.0,0.0,0.0,8897,8.132541133455211,-0.9999999999999487,-0.012549033324075198,-0.03516146915181606,4.38,0,0.5028661346521299,0.9030762222072446,0.99999999999996,-0.9999978819162598,-0.03516146915181606,10.257534246575343,-0.9999742252207244,-0.028610526903206757,8.324175824175825,-0.9724941184521333,-0.023671042578516377,4.38,-18.051856848640355,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
4,wick_reversal,short,3,4.0,0.0,0.0,6738,6.164684354986276,-0.9999999999998435,-0.012560442190240106,-0.03534194193027951,4.181208053691275,0,0.4483526268922529,0.6598602733070873,0.9999999999999374,-0.9999980217111588,-0.03534194193027951,6.717808219178083,-0.9999945358529502,-0.03283000111726153,6.909090909090909,-0.6730138410335015,-0.007474192929958989,4.181208053691275,-18.14755135695523,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
5,vwap_reclaim,short,12,4.0,0.0,0.0,10067,9.21043000914913,-1.0,-0.012560442190240106,-0.036062098482691596,7.993333333333333,0,0.4416410052647263,0.817889247071367,1.0,-0.999983184858278,-0.02966939970451643,10.136986301369863,-0.9999984373680976,-0.036062098482691596,9.788461538461538,-0.992811558960136,-0.03236649412313786,7.993333333333333,-18.379278251325466,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
6,wick_reversal,long,3,4.0,0.0,0.0,8898,8.13345521023766,-0.9999999999999953,-0.012549033324075198,-0.03714332867924497,4.386666666666667,0,0.46336255338278265,0.715520975011511,0.9999999999999969,-0.9999999631372564,-0.03714332867924497,10.257534246575343,-0.9999810404001063,-0.029429687298846208,8.324175824175825,-0.1902613925939891,-0.0014059692997888673,4.386666666666667,-18.765327631308455,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
7,wick_reversal,long,6,4.0,0.0,0.0,8897,8.132541133455211,-0.9999999999999759,-0.012549033324075198,-0.03714332867924497,4.38,0,0.48960323704619535,0.8256241117248841,0.9999999999999817,-0.9999999878627917,-0.03714332867924497,10.257534246575343,-0.9994037542153018,-0.020191329341065378,8.324175824175825,-0.8710181201031861,-0.013561097462125526,4.38,-18.765327647380037,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
8,vwap_reclaim,long,3,4.0,0.0,0.0,8145,7.4451553930530165,-1.0,-0.012549033324075198,-0.03714332867924497,6.24,0,0.3950890116635973,0.5507286494835933,1.0,-0.9999999854265473,-0.03714332867924497,8.438356164383562,-0.9999970988386255,-0.03442217055497865,7.876373626373627,-0.9941283273110204,-0.03367085359254074,6.24,-18.773650314900706,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
9,vwap_reclaim,long,12,4.0,0.0,0.0,8145,7.4451553930530165,-1.0,-0.012549033324075198,-0.03714332867924497,6.24,0,0.44419889502762433,0.7148926303562176,1.0,-0.9999999999475835,-0.03714332867924497,8.438356164383562,-0.9999983571185467,-0.03592946800935648,7.876373626373627,-0.9954725849092941,-0.03534429866070021,6.24,-18.77365032433938,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
10,vwap_reclaim,long,6,4.0,0.0,0.0,8145,7.4451553930530165,-1.0,-0.012549033324075198,-0.03714332867924497,6.24,0,0.4148557397176182,0.6362616804828328,1.0,-0.9999999999523992,-0.03714332867924497,8.438356164383562,-0.9999928473553332,-0.03202549371368435,7.876373626373627,-0.9869621109923299,-0.028518096265111037,6.24,-18.77365032434251,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
