rank,scope,template,side,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
1,TRX,wick_reversal,short,24,4.0,0.0,0.0,27,0.03430749682337993,0.5097699329185994,0.0005235897278312862,0.0,0.015306122448979591,2,0.5925925925925926,2.0509762542413847,0.13529046401822575,0.3908769830929131,0.001227274684043822,0.08550185873605948,0.06732545670390344,0.00033248355710036037,0.015306122448979591,0.0,0.0,0.0,0.10836379907947155,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
2,TRX,wick_reversal,short,12,4.0,0.0,0.0,27,0.03430749682337993,0.41969172539993305,0.0004453847366236996,0.0,0.015306122448979591,2,0.5925925925925926,2.010039529551742,0.17978106352862733,0.24157194356905776,0.0008047037982621408,0.08550185873605948,0.10186054431381097,0.000495021232148396,0.015306122448979591,0.0,0.0,0.0,0.03085315215334533,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
3,TRX,vwap_reclaim,short,12,4.0,0.0,0.0,23,0.02598870056497175,0.5481647320039218,0.000493986587624784,-2.994703421221878e-05,0.023333333333333334,1,0.4782608695652174,3.7094359672618826,0.07026765621684805,0.5311676835853583,0.0012649852839026199,0.04154302670623145,-0.008944007054899838,-2.994703421221878e-05,0.023333333333333334,0.0,0.0,0.0,-0.032556365463062925,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
4,TRX,squeeze_breakout,short,24,4.0,0.0,0.0,99,0.11288483466362599,2.6087420793067517,0.0014644227117144304,0.0,0.12457912457912458,2,0.48484848484848486,1.8442043297569817,0.5367115445155963,1.6114606303628936,0.0034588807356064066,0.20503597122302158,0.34578040179487024,0.0010004127701725984,0.12457912457912458,0.0,0.0,0.0,-0.0905551052418069,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
5,TRX,vwap_reclaim,short,12,4.0,0.0,0.0,137,0.12791783380018673,0.5160010190740112,0.0003885684324835825,-0.0002834821812910393,0.08181818181818182,2,0.40875912408759124,1.4800913119022983,0.1628622111240582,0.659354770819758,0.0014116607335368236,0.1392757660167131,-0.09318354803900519,-0.0002834821812910393,0.17101449275362318,0.010987165600514048,9.934352697404947e-05,0.08181818181818182,-0.1018463631564307,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
6,TRX,vwap_reclaim,short,6,4.0,0.0,0.0,23,0.02598870056497175,0.03480087150645739,3.865499965849395e-05,-0.0001427603104088293,0.023333333333333334,1,0.43478260869565216,1.2065523951088595,0.10230089205598014,0.06433586260996149,0.00018503492532784271,0.04154302670623145,-0.04192685340785218,-0.0001427603104088293,0.023333333333333334,0.0,0.0,0.0,-0.2621423844527381,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
7,TRX,vwap_reclaim,short,24,4.0,0.0,0.0,23,0.02598870056497175,0.1814852857625191,0.0001884611053832863,-0.00018882316183244097,0.023333333333333334,1,0.391304347826087,1.516823257051335,0.16602415570008966,0.19760227833980437,0.0005352216861018722,0.04154302670623145,-0.05507743566738854,-0.00018882316183244097,0.023333333333333334,0.0,0.0,0.0,-0.324981259386132,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
8,XTZ,wick_reversal,long,12,4.0,0.0,0.0,269,0.2481549815498155,1.9821656701126296,0.0010084876760749761,-0.0005140757323595091,0.10218978102189781,2,0.5390334572490706,1.3323980065501582,0.40273446020536585,1.8082918762171944,0.002840775799229922,0.36538461538461536,-0.16212597890185532,-0.0005140757323595091,0.23546511627906977,0.06874547760382499,0.0004854134668161869,0.10218978102189781,-0.3470019278104317,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
9,BTC,wick_reversal,short,24,4.0,0.0,0.0,88,0.08568646543330087,-0.0743419270960406,-7.52166104752705e-05,-0.00010692297715719778,0.06333333333333334,2,0.5,1.0538850865163767,0.426935522146328,0.026496460116102405,7.408633907934892e-05,0.09915014164305949,-0.031569547437176215,-0.00010692297715719778,0.06333333333333334,0.23263073934120038,0.0033790946642078268,0.27419354838709675,-0.4652905675785753,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
10,TRX,vwap_reclaim,long,3,4.0,0.0,0.0,37,0.03464419475655431,-0.060063098075852084,-5.7996943190641304e-05,-0.0006551041164516436,0.05014749262536873,1,0.32432432432432434,0.781669956423605,0.14911767738029658,-0.025425528649288043,-7.596862719372321e-05,0.05014749262536873,-0.12341278597366012,-0.0006551041164516436,0.06965174129353234,0.007545412856411193,0.007545412856411193,1.0,-0.5756207482839937,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
11,XTZ,wick_reversal,long,6,4.0,0.0,0.0,269,0.2481549815498155,0.08717720614847324,7.711055403558653e-05,-0.0008328884332462483,0.10218978102189781,2,0.5353159851301115,1.0864114306701633,0.313399259241931,0.4590467156638456,0.0010384049452671906,0.36538461538461536,0.19579133343798216,0.0005199263065287507,0.23546511627906977,-0.10787878146964269,-0.0008328884332462483,0.10218978102189781,-0.5756304147654552,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
12,OP,wick_reversal,short,24,4.0,0.0,0.0,550,0.5045871559633027,4.565609911782123,0.001576109175357443,-0.0005376454429999455,0.323943661971831,2,0.5290909090909091,1.2471778204592685,0.7731508025941174,-0.17778681591342183,-0.0005376454429999455,0.5082417582417582,1.5738600265012375,0.002615034047721343,0.5939226519337016,0.8992539951107432,0.004527550743955278,0.323943661971831,-0.5882926349366769,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
13,TRX,vwap_reclaim,short,3,4.0,0.0,0.0,23,0.02598870056497175,-0.10784937937534789,-0.00012894118179984648,-0.00023739029931979516,0.023333333333333334,0,0.391304347826087,0.5148905031970363,0.13416210656434147,-0.04273139315203345,-0.00012957988569772816,0.04154302670623145,-0.06874817006283929,-0.00023739029931979516,0.023333333333333334,0.0,0.0,0.0,-0.6003964852302144,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
14,TRX,vwap_reclaim,short,24,4.0,0.0,0.0,137,0.12791783380018673,0.011956905795635908,1.1098088429806197e-05,-0.00044259256590195584,0.08181818181818182,1,0.41605839416058393,1.0710763249403015,0.2946213144522447,0.32595465834960513,0.0007861938379942757,0.1392757660167131,-0.10276374221492512,-0.0003142580453698862,0.17101449275362318,-0.04752932444974778,-0.00044259256590195584,0.08181818181818182,-0.6357438033259991,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
15,TRX,vwap_reclaim,short,6,4.0,0.0,0.0,137,0.12791783380018673,-0.1825770366173447,-0.00018821628606802143,-0.00039347518841625906,0.08181818181818182,1,0.36496350364963503,0.8029252730602869,0.2634525971512012,-0.020451425188107497,-5.755670396945245e-05,0.1392757660167131,-0.12696152673078087,-0.00039347518841625906,0.17101449275362318,0.019424624626684706,0.00017490960974164693,0.08181818181818182,-0.6506372355995418,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
16,TRX,wick_reversal,short,3,4.0,0.0,0.0,27,0.03430749682337993,-0.07260037829086718,-9.576506471575819e-05,-0.00023699011926880953,0.015306122448979591,0,0.4444444444444444,0.8109020655898518,0.21745784451365346,-0.06176787950688534,-0.00023699011926880953,0.08550185873605948,-0.032649090680270665,-0.00016934262342405138,0.015306122448979591,0.0,0.0,0.0,-0.6932303330692324,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
17,TRX,squeeze_breakout,short,12,4.0,0.0,0.0,99,0.11288483466362599,0.5507520114296423,0.0005003987973388746,-0.00041313590416314216,0.12457912457912458,1,0.40404040404040403,1.400733834262365,0.4699441033419852,0.946762232945932,0.0023991597169581436,0.20503597122302158,-0.11549464991453884,-0.00041313590416314216,0.12457912457912458,0.0,0.0,0.0,-0.70082294774313,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
18,TRX,squeeze_breakout,short,6,4.0,0.0,0.0,99,0.11288483466362599,0.2285240641762185,0.00023470655985291522,-0.0006120883478160088,0.12457912457912458,1,0.46464646464646464,1.269625239476281,0.3390019605636009,0.5646491408245962,0.0016115907717164646,0.20503597122302158,-0.1662701899337371,-0.0006120883478160088,0.12457912457912458,0.0,0.0,0.0,-0.7161660764937291,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
