rank,scope,template,side,regime,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
1,XRP,rsi_reversion,short,market_extreme,24,4.0,0.0,0.0,58,0.056862745098039215,1.681580006755865,0.0009675326360143455,0.0009416065989025224,0.06042296072507553,3,0.5689655172413793,2.5775758288855384,0.25870047034471166,0.22082477557810987,0.0009416065989025224,0.08962264150943396,0.4157608907724182,0.0010509056472891576,0.06042296072507553,0.3820946071357407,0.006908867068920799,0.2127659574468085,0.7770490073140539,"atr_ceiling=0.014,atr_floor=0.0006,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
2,XRP,rsi_reversion,short,market_extreme,24,4.0,0.0,0.0,58,0.056862745098039215,1.681580006755865,0.0009675326360143455,0.0009416065989025224,0.06042296072507553,3,0.5689655172413793,2.5775758288855384,0.25870047034471166,0.22082477557810987,0.0009416065989025224,0.08962264150943396,0.4157608907724182,0.0010509056472891576,0.06042296072507553,0.3820946071357407,0.006908867068920799,0.2127659574468085,0.7770490073140539,"atr_ceiling=0.014,atr_floor=0.0012,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
3,XRP,rsi_reversion,short,market_extreme,24,4.0,0.0,0.0,59,0.05784313725490196,1.7996748002211373,0.0010098264608200402,0.0007332710320326896,0.06042296072507553,3,0.576271186440678,2.6411808000740296,0.25870047034471155,0.27458899270605674,0.0007332710320326896,0.06042296072507553,0.4157608907724182,0.0010509056472891576,0.06042296072507553,0.3820946071357407,0.006908867068920799,0.2127659574468085,0.748851921202027,"atr_ceiling=0.024,atr_floor=0.0006,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
4,XRP,rsi_reversion,short,market_extreme,24,4.0,0.0,0.0,59,0.05784313725490196,1.7996748002211373,0.0010098264608200402,0.0007332710320326896,0.06042296072507553,3,0.576271186440678,2.6411808000740296,0.25870047034471155,0.27458899270605674,0.0007332710320326896,0.06042296072507553,0.4157608907724182,0.0010509056472891576,0.06042296072507553,0.3820946071357407,0.006908867068920799,0.2127659574468085,0.748851921202027,"atr_ceiling=0.024,atr_floor=0.0012,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
5,XTZ,rsi_reversion,short,local_chop,24,4.0,0.0,0.0,148,0.13653136531365315,1.5679838129832402,0.0008704164917028301,0.0010960087951294994,0.13573407202216067,3,0.5540540540540541,1.5507285997545541,0.4517537789457784,0.4850411916730979,0.0010960087951294994,0.13573407202216067,0.6311448027399054,0.0013487933811857644,0.1487603305785124,0.18806851837559124,0.0012143204560950416,0.176056338028169,0.5703869928727847,"atr_ceiling=0.024,atr_floor=0.0006,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
6,XTZ,rsi_reversion,short,local_chop,24,4.0,0.0,0.0,148,0.13653136531365315,1.5679838129832402,0.0008704164917028301,0.0010960087951294994,0.13573407202216067,3,0.5540540540540541,1.5507285997545541,0.4517537789457784,0.4850411916730979,0.0010960087951294994,0.13573407202216067,0.6311448027399054,0.0013487933811857644,0.1487603305785124,0.18806851837559124,0.0012143204560950416,0.176056338028169,0.5703869928727847,"atr_ceiling=0.024,atr_floor=0.0012,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
7,XTZ,panic_snapback,long,market_contra,24,4.0,0.0,0.0,123,0.11495327102803739,4.101609111351799,0.0015241098111582474,0.0004399865164808059,0.030612244897959183,3,0.6260162601626016,1.8132937881994504,0.3079018384750012,2.7715016035419957,0.003725334268490421,0.20728291316526612,0.1447214305854312,0.0004476541915523491,0.09602649006622517,0.04405189447646518,0.0004399865164808059,0.030612244897959183,0.5663409111530565,"atr_ceiling=0.03,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.004,volume_z=0.8,wick_body=1.4"
8,XTZ,panic_snapback,long,market_contra,24,4.0,0.0,0.0,123,0.11495327102803739,4.101609111351799,0.0015241098111582474,0.0004399865164808059,0.030612244897959183,3,0.6260162601626016,1.8132937881994504,0.3079018384750012,2.7715016035419957,0.003725334268490421,0.20728291316526612,0.1447214305854312,0.0004476541915523491,0.09602649006622517,0.04405189447646518,0.0004399865164808059,0.030612244897959183,0.5663409111530565,"atr_ceiling=0.055,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.004,volume_z=0.8,wick_body=1.4"
9,XTZ,panic_snapback,long,market_contra,24,4.0,0.0,0.0,123,0.11495327102803739,4.101609111351799,0.0015241098111582474,0.0004399865164808059,0.030612244897959183,3,0.6260162601626016,1.8132937881994504,0.3079018384750012,2.7715016035419957,0.003725334268490421,0.20728291316526612,0.1447214305854312,0.0004476541915523491,0.09602649006622517,0.04405189447646518,0.0004399865164808059,0.030612244897959183,0.5663409111530565,"atr_ceiling=0.03,atr_floor=0.002,range_mult=0.85,rsi_fast=28,shock=0.004,volume_z=0.8,wick_body=1.4"
10,XTZ,panic_snapback,long,market_contra,24,4.0,0.0,0.0,123,0.11495327102803739,4.101609111351799,0.0015241098111582474,0.0004399865164808059,0.030612244897959183,3,0.6260162601626016,1.8132937881994504,0.3079018384750012,2.7715016035419957,0.003725334268490421,0.20728291316526612,0.1447214305854312,0.0004476541915523491,0.09602649006622517,0.04405189447646518,0.0004399865164808059,0.030612244897959183,0.5663409111530565,"atr_ceiling=0.055,atr_floor=0.002,range_mult=0.85,rsi_fast=28,shock=0.004,volume_z=0.8,wick_body=1.4"
