date,profit,exit_reason,raw_profit,pair,candidate_id,template,side,regime,hold
2023-06-05 15:30:00+00:00,-0.019796254256526702,fixed_hold,-0.15837003405221362,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2023-06-06 19:55:00+00:00,0.000921262080727792,fixed_hold,0.007370096645822336,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2023-06-07 10:05:00+00:00,-0.0023846279908227293,fixed_hold,-0.019077023926581834,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2023-06-07 14:40:00+00:00,-0.006340146837977678,fixed_hold,-0.050721174703821426,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2023-06-08 20:30:00+00:00,0.0009955812372535737,fixed_hold,0.00796464989802859,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-06-10 04:30:00+00:00,0.0009285714285714457,fixed_hold,0.0074285714285715655,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2023-06-10 04:30:00+00:00,-0.010203196347031984,fixed_hold,-0.08162557077625587,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2023-06-10 05:55:00+00:00,-0.0003062015503876854,fixed_hold,-0.002449612403101483,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2023-06-10 08:40:00+00:00,-0.002509377093101117,fixed_hold,-0.020075016744808934,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-06-10 08:45:00+00:00,-0.0038439224209998453,fixed_hold,-0.030751379367998762,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-06-11 16:45:00+00:00,-0.0018920733704553268,fixed_hold,-0.015136586963642614,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-06-12 02:30:00+00:00,0.0015396270396270122,fixed_hold,0.012317016317016097,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2023-06-12 02:30:00+00:00,0.001474723538704537,fixed_hold,0.011797788309636296,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2023-06-14 21:00:00+00:00,-0.005019774011299494,fixed_hold,-0.04015819209039595,COMP,5min:COMP:rsi_reversion:long:market_extreme:h24:#7,rsi_reversion,long,market_extreme,24
2023-06-20 18:15:00+00:00,-0.0013173273395995495,fixed_hold,-0.010538618716796396,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2023-06-20 18:25:00+00:00,0.0008143416065533042,fixed_hold,0.006514732852426434,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-06-21 01:15:00+00:00,0.00010459492140274572,fixed_hold,0.0008367593712219658,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2023-06-21 06:00:00+00:00,0.0018254427285194223,fixed_hold,0.014603541828155379,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-06-21 15:25:00+00:00,0.0018044197589222604,fixed_hold,0.014435358071378083,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-06-23 12:10:00+00:00,0.004569708491761693,fixed_hold,0.03655766793409354,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-06-23 15:10:00+00:00,-0.015311779169837836,fixed_hold,-0.12249423335870269,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-06-23 15:25:00+00:00,-0.010083628214201446,fixed_hold,-0.08066902571361156,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-06-24 12:30:00+00:00,0.005736195920488518,fixed_hold,0.045889567363908146,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-06-24 12:35:00+00:00,0.0057232594321276475,fixed_hold,0.04578607545702118,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-06-24 15:25:00+00:00,0.0014960079840319889,fixed_hold,0.011968063872255911,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2023-06-25 04:15:00+00:00,-0.0004413970932958806,fixed_hold,-0.003531176746367045,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-06-27 12:45:00+00:00,0.009240714786264925,fixed_hold,0.0739257182901194,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-06-27 14:10:00+00:00,0.008590356317645653,fixed_hold,0.06872285054116523,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-06-28 14:40:00+00:00,0.001858490566037763,fixed_hold,0.014867924528302105,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-06-28 17:40:00+00:00,-0.015575795435615547,fixed_hold,-0.12460636348492438,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2023-06-29 06:45:00+00:00,-0.004667943610174752,fixed_hold,-0.037343548881398014,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-06-29 07:05:00+00:00,-0.0035528758090121455,fixed_hold,-0.028423006472097164,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-06-29 09:45:00+00:00,-0.02343195463642428,fixed_hold,-0.18745563709139423,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-06-30 16:40:00+00:00,0.0003090614886731018,fixed_hold,0.0024724919093848143,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-07-05 09:30:00+00:00,-0.01592134468963735,fixed_hold,-0.1273707575170988,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2023-07-08 00:25:00+00:00,6.119444188768409e-06,fixed_hold,4.895555351014727e-05,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-07-08 08:20:00+00:00,0.003450167122455217,fixed_hold,0.027601336979641736,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-07-09 12:35:00+00:00,0.00018316380749966487,fixed_hold,0.001465310459997319,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-07-10 14:55:00+00:00,0.001329500095038905,fixed_hold,0.01063600076031124,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-07-10 18:45:00+00:00,-0.0024418838613073364,fixed_hold,-0.01953507089045869,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-07-10 19:55:00+00:00,0.003923954549688025,fixed_hold,0.0313916363975042,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-07-11 15:20:00+00:00,-0.0044718912312862735,fixed_hold,-0.03577512985029019,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-07-12 23:40:00+00:00,0.0034932422054983485,fixed_hold,0.027945937643986788,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-07-16 00:30:00+00:00,-0.007623775601068583,fixed_hold,-0.060990204808548665,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2023-07-18 06:50:00+00:00,-0.001687648456057011,fixed_hold,-0.013501187648456089,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2023-07-18 14:30:00+00:00,-0.0041207590183720555,fixed_hold,-0.032966072146976444,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-07-19 03:15:00+00:00,-0.0009165088981445964,fixed_hold,-0.007332071185156771,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-07-19 11:45:00+00:00,0.005341446453407561,fixed_hold,0.04273157162726049,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-07-22 03:25:00+00:00,0.004608009046245087,fixed_hold,0.0368640723699607,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-07-23 16:55:00+00:00,-0.00524206349206352,fixed_hold,-0.04193650793650816,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-07-24 09:55:00+00:00,0.0037010719976821598,fixed_hold,0.029608575981457278,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2023-07-24 09:55:00+00:00,0.00749507995079951,fixed_hold,0.05996063960639608,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2023-07-28 14:35:00+00:00,-0.003421187552164084,fixed_hold,-0.027369500417312672,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-07-28 15:30:00+00:00,0.008134128792421202,fixed_hold,0.06507303033936962,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-07-30 20:15:00+00:00,0.0059704209328783064,fixed_hold,0.04776336746302645,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2023-08-13 22:45:00+00:00,0.002363766534842438,fixed_hold,0.018910132278739503,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2023-08-16 01:30:00+00:00,-0.004591225626740969,fixed_hold,-0.03672980501392775,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-08-18 05:40:00+00:00,-0.002600399075824433,fixed_hold,-0.020803192606595463,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-08-20 07:35:00+00:00,-0.0008619909502262098,fixed_hold,-0.006895927601809678,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-08-22 20:25:00+00:00,0.0036952707856598437,fixed_hold,0.02956216628527875,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-08-23 19:45:00+00:00,0.00024086269344741939,fixed_hold,0.001926901547579355,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-08-24 00:10:00+00:00,0.006253376688344192,fixed_hold,0.05002701350675354,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-08-24 23:45:00+00:00,0.012686221743810566,fixed_hold,0.10148977395048453,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-08-24 23:50:00+00:00,0.010048900411228356,fixed_hold,0.08039120328982685,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-08-29 14:30:00+00:00,0.005439123979213145,fixed_hold,0.04351299183370516,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2023-08-31 16:55:00+00:00,0.011841062079281983,fixed_hold,0.09472849663425587,COMP,5min:COMP:rsi_reversion:long:market_extreme:h24:#7,rsi_reversion,long,market_extreme,24
2023-09-01 20:35:00+00:00,0.0015529665366454397,fixed_hold,0.012423732293163518,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-09-07 14:50:00+00:00,-0.0012265933153415283,fixed_hold,-0.009812746522732226,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-09-08 17:35:00+00:00,-0.0005,fixed_hold,-0.004,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-09-11 10:25:00+00:00,0.004094180704441064,fixed_hold,0.03275344563552851,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2023-09-11 13:00:00+00:00,0.008278089887640394,fixed_hold,0.06622471910112315,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-09-11 13:05:00+00:00,0.003216608594657389,fixed_hold,0.025732868757259112,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-09-12 03:25:00+00:00,0.004427657789893014,fixed_hold,0.03542126231914411,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2023-09-12 03:30:00+00:00,0.0021172529313233106,fixed_hold,0.016938023450586485,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2023-09-13 14:40:00+00:00,0.0014612367328103453,fixed_hold,0.011689893862482762,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-09-14 10:20:00+00:00,-0.0006136105430583623,fixed_hold,-0.004908884344466898,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-09-15 22:45:00+00:00,0.00044024237358969475,fixed_hold,0.003521938988717558,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-09-18 12:40:00+00:00,-0.0032143862471096236,fixed_hold,-0.02571508997687699,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-09-20 17:20:00+00:00,0.005566809806760886,fixed_hold,0.04453447845408709,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-09-24 06:30:00+00:00,-0.0010649717514124575,fixed_hold,-0.00851977401129966,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-10-02 02:45:00+00:00,0.006379805746661249,fixed_hold,0.05103844597328999,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-10-02 07:50:00+00:00,0.00172988039732408,fixed_hold,0.01383904317859264,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-10-02 15:05:00+00:00,0.0031740146960587694,fixed_hold,0.025392117568470155,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-10-02 15:25:00+00:00,0.005392849732331839,fixed_hold,0.04314279785865471,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-10-04 08:45:00+00:00,0.0009226865418099921,fixed_hold,0.007381492334479937,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-10-05 13:10:00+00:00,0.004022840343735845,fixed_hold,0.03218272274988676,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-10-06 15:45:00+00:00,0.00017782249523407056,fixed_hold,0.0014225799618725644,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-10-08 03:15:00+00:00,0.004312628336755553,fixed_hold,0.03450102669404442,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-10-16 05:40:00+00:00,-9.423818218706704e-05,fixed_hold,-0.0007539054574965363,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2023-10-21 11:50:00+00:00,0.007393736829377884,fixed_hold,0.05914989463502307,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-10-23 03:50:00+00:00,-0.005172290720311501,fixed_hold,-0.04137832576249201,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-10-24 02:50:00+00:00,0.009485342616342984,fixed_hold,0.07588274093074387,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2023-10-26 09:30:00+00:00,-0.0021534999081389,fixed_hold,-0.0172279992651112,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2023-10-29 07:55:00+00:00,0.0001196170766465947,fixed_hold,0.0009569366131727576,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-10-29 17:40:00+00:00,0.00047164025019735866,fixed_hold,0.0037731220015788693,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-10-30 08:40:00+00:00,-0.012978668941979521,fixed_hold,-0.10382935153583617,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2023-10-31 23:35:00+00:00,-0.0019093696985514326,fixed_hold,-0.01527495758841146,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-11-01 14:30:00+00:00,-0.009242997113962093,fixed_hold,-0.07394397691169674,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-11-02 14:15:00+00:00,-0.008554123711340234,fixed_hold,-0.06843298969072187,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2023-11-03 01:00:00+00:00,-0.0011435006435006607,fixed_hold,-0.009148005148005286,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2023-11-04 08:20:00+00:00,-0.0007740836074168751,fixed_hold,-0.006192668859335001,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-11-04 22:30:00+00:00,0.0027973835202247947,fixed_hold,0.022379068161798358,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-11-06 22:45:00+00:00,-0.007189845342285117,fixed_hold,-0.05751876273828094,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-11-07 00:45:00+00:00,-0.0017180267965894998,fixed_hold,-0.013744214372715998,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2023-11-07 17:10:00+00:00,0.01898818897637794,fixed_hold,0.15190551181102352,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2023-11-07 21:00:00+00:00,0.01085097493036219,fixed_hold,0.08680779944289752,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-11-09 04:20:00+00:00,-0.0007481893459082563,fixed_hold,-0.00598551476726605,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2023-11-09 12:20:00+00:00,-0.010507784970908762,fixed_hold,-0.0840622797672701,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
